Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124,-58.5,90,top
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124,-95.5,90,top
C3,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.35,-127.14375,180,top
C4,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.85,-118.14375,0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.5,-63,90,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.5,-91,90,top
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.5,-104,90,top
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146,-39.8,90,top
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177,-50,-90,top
D1,BAT54C,SOT-23,149,-39.825,180,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,110.75,-125.75,0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,186.75,-50.75,0,top
FID3,Fiducial,Fiducial_0.5mm_Mask1mm,186.75,-125.75,0,top
J1,Screw_Terminal_01x03,TerminalBlock_bornier-3_P5.08mm,122.75,-136.5,0,top
J2,RJ45,HCTL HC-RJ45-5622-1-6,110.75,-60.5,-90,top
J3,RJ45,HCTL HC-RJ45-5622-1-6,110.75,-79,-90,top
J4,RJ45,HCTL HC-RJ45-5622-1-6,110.75,-97.5,-90,top
J5,RJ45,HCTL HC-RJ45-5622-1-6,110.75,-116,-90,top
J6,RJ45,HCTL HC-RJ45-5622-1-6,186.75,-60.5,90,top
J7,RJ45,HCTL HC-RJ45-5622-1-6,186.75,-79,90,top
J8,RJ45,HCTL HC-RJ45-5622-1-6,186.75,-97.5,90,top
J9,RJ45,HCTL HC-RJ45-5622-1-6,186.75,-116,90,top
J10,RJ45,HCTL HC-RJ45-5622-1-6,165.5,-132.75,0,top
J11,RJ45,HCTL HC-RJ45-5622-1-6,147,-132.75,0,top
J12,J1B1211CCD,CONN12_J1B1211CCD_WIZ,171.105649,-45.55999,180,top
J13,Header 2x3 2mm,PinSocket_2x03_P2.00mm_Vertical,153.93,-52.26,-90,top
J14,Conn_01x24,PinSocket_1x24_P2.54mm_Vertical,141.13,-37.29,0,top
J15,Conn_01x24,PinSocket_1x24_P2.54mm_Vertical,156.37,-37.29,0,top
J16,Conn_01x01,PinSocket_1x01_P2.54mm_Vertical,153.83,-39.83,0,top
R1,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.5,-68.0875,90,top
R2,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,126.25,-68.0875,90,top
R3,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128,-68.0875,90,top
R4,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.75,-68.0875,90,top
R5,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.5,-68.0875,90,top
R6,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.25,-68.0875,90,top
R7,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135,-68.0875,90,top
R8,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.75,-68.0875,90,top
R9,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.5,-105,90,top
R10,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,126.25,-105,90,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128,-105,90,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.75,-105,90,top
R13,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.5,-105,90,top
R14,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.25,-105,90,top
R15,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135,-105,90,top
R16,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.75,-105,90,top
R17,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.5,-73,90,top
R18,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,170.75,-73,90,top
R19,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,169,-73,90,top
R20,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,167.25,-73,90,top
R21,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,165.5,-73,90,top
R22,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,163.75,-73,90,top
R23,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162,-73,90,top
R24,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,160.25,-73,90,top
R25,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,172.5,-101,90,top
R26,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,170.75,-101,90,top
R27,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,169,-101,90,top
R28,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,167.25,-101,90,top
R29,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,165.5,-101,90,top
R30,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,163.75,-101,90,top
R31,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162,-101,90,top
R32,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,160.25,-101,90,top
R33,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,155.5,-114,90,top
R34,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.75,-114,90,top
R35,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,152,-114,90,top
R36,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,150.25,-114,90,top
R37,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.5,-114,90,top
R38,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,146.75,-114,90,top
R39,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145,-114,90,top
R40,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.25,-114,90,top
R41,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133,-115,90,top
TOOL1,Tooling_Hole,Tooling Hole,189.25,-125.75,0,top
TOOL2,Tooling_Hole,Tooling Hole,189.25,-50.75,0,top
TOOL3,Tooling_Hole,Tooling Hole,108.25,-125.75,0,top
TOOL4,~,Order Number,192,-121,90,top
U1,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,131.5,-58.5,90,top
U2,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,131.5,-95.5,90,top
U3,NCP1117-5.0_SOT223,SOT-223-3_TabPin2,133.35,-122.64375,0,top
U4,Teensy4.1,Teensy41,148.75,-66.5,-90,top
U5,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,166,-63.5,-90,top
U6,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,166,-91.5,-90,top
U7,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,149,-104.5,-90,top
